No.10
12.12.21
13:00:33
Speed=40Hz
 Trig=0.07kN
 Stop=0.03kN
  Pre=3sec
Catch=5sec
Total=8sec
0.98
0.98
0.96
0.95
0.93
0.91
0.89
0.87
0.85
0.83
0.81
0.78
0.75
0.73
0.70
0.69
0.68
0.67
0.66
0.66
0.66
0.66
0.67
0.69
0.72
0.76
0.80
0.85
0.91
0.96
1.01
1.04
1.06
1.07
1.07
1.06
1.03
1.01
0.98
0.93
0.89
0.85
0.82
0.78
0.75
0.73
0.73
0.73
0.74
0.76
0.77
0.79
0.81
0.83
0.86
0.88
0.91
0.93
0.94
0.95
0.94
0.92
0.90
0.87
0.85
0.83
0.81
0.80
0.79
0.78
0.78
0.78
0.79
0.81
0.83
0.85
0.86
0.88
0.90
0.91
0.93
0.94
0.94
0.94
0.93
0.92
0.90
0.88
0.86
0.84
0.83
0.82
0.80
0.79
0.78
0.77
0.76
0.75
0.75
0.75
0.75
0.76
0.77
0.79
0.81
0.83
0.85
0.86
0.88
0.89
0.90
0.90
0.91
0.92
0.92
0.93
0.93
0.93
0.92
0.91
0.91
0.90
0.88
0.87
0.87
0.86
0.85
0.85
0.85
0.85
0.84
0.84
0.84
0.83
0.82
0.81
0.80
0.79
0.78
0.77
0.77
0.78
0.79
0.81
0.82
0.84
0.85
0.86
0.86
0.86
0.86
0.86
0.87
0.88
0.90
0.91
0.93
0.93
0.94
0.94
0.92
0.92
0.91
0.92
0.92
0.92
0.93
0.91
0.88
0.77
0.67
0.54
0.38
0.22
0.13
0.05
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
